IBGE,Municipio,population
2300903,Apuiarés,14742
2301000,Aquiraz,81581
2301109,Aracati,75392
2301208,Aracoiaba,26600
2301257,Ararendá,10983
2301307,Araripe,21707
2301406,Aratuba,11759
2301505,Arneiroz,7848
2301604,Assaré,23537
2301703,Aurora,24567
2301802,Baixio,6318
2301851,Banabuiú,18313
2301901,Barbalha,61662
2301950,Barreira,22715
2302008,Barro,22834
2302057,Barroquinha,15069
2302107,Baturité,36127
2302206,Beberibe,54315
2302305,Bela Cruz,32851
2302404,Boa Viagem,54680
2302503,Brejo Santo,50195
2302602,Camocim,64147
2302701,Campos Sales,27513
2302800,Canindé,77484
2302909,Capistrano,17830
2303006,Caridade,23011
2303105,Cariré,18470
2303204,Caririaçu,27008
2303303,Cariús,18700
2303402,Carnaubal,17763
2303501,Cascavel,72706
2303600,Catarina,21041
2303659,Catunda,10410
2303709,Caucaia,368918
2303808,Cedro,25612
2303907,Chaval,13112
2303931,Choró,13608
2303956,Chorozinho,20286
2304004,Coreaú,23340
2304103,Crateús,75241
2304202,Crato,133913
2304236,Croatá,18201
2304251,Cruz,25121
2304269,Deputado Irapuan Pinheiro,9698
2304277,Ereré,7254
2304285,Eusébio,55035
2304301,Farias Brito,19330
2304350,Forquilha,24680
2304400,Fortaleza,2703391
2304459,Fortim,16776
2304509,Frecheirinha,14195
2304608,General Sampaio,7767
2304657,Graça,14415
2304707,Granja,55170
2304806,Granjeiro,4784
2304905,Groaíras,11219
2304954,Guaiúba,26508
2305001,Guaraciaba do Norte,40921
2305100,Guaramiranga,5073
2305209,Hidrolândia,20126
2305233,Horizonte,69688
2305266,Ibaretama,13385
2305308,Ibiapina,25165
2305332,Ibicuitinga,12730
2305357,Icapuí,20183
2305407,Icó,68303
2305506,Iguatu,103633
2305605,Independência,26196
2305654,Ipaporanga,11597
2305704,Ipaumirim,12507
2305803,Ipu,42148
2305902,Ipueiras,38064
2306009,Iracema,14351
2306108,Irauçuba,24450
2306207,Itaiçaba,7904
2306256,Itaitinga,38661
2306306,Itapajé,53448
2306405,Itapipoca,131687
2306504,Itapiúna,20653
2306553,Itarema,42595
2306603,Itatira,22018
2306702,Jaguaretama,18133
2306801,Jaguaribara,11580
2306900,Jaguaribe,34592
2307007,Jaguaruana,33960
2307106,Jardim,27187
2307205,Jati,8150
2307254,Jijoca de Jericoacoara,20351
2307304,Juazeiro do Norte,278264
2307403,Jucás,24949
2307502,Lavras da Mangabeira,31476
2307601,Limoeiro do Norte,60232
2307635,Madalena,20031
2307650,Maracanaú,230986
2307700,Maranguape,131677
2307809,Marco,27822
2307908,Martinópole,11407
2308005,Massapê,39341
2308104,Mauriti,48370
2308203,Meruoca,15309
2308302,Milagres,27413
2308351,Milhã,13129
2308377,Miraíma,13965
2308401,Missão Velha,35566
2308500,Mombaça,43917
2308609,Monsenhor Tabosa,17264
2308708,Morada Nova,61590
2308807,Moraújo,8833
2308906,Morrinhos,22830
2309003,Mucambo,14561
2309102,Mulungu,11056
2309201,Nova Olinda,15798
2309300,Nova Russas,32487
2309409,Novo Oriente,28737
2309458,Ocara,25958
2309508,Orós,21342
2309607,Pacajus,74145
2309706,Pacatuba,85647
2309805,Pacoti,12313
2309904,Pacujá,6565
2310001,Palhano,9458
2310100,Palmácia,13553
2310209,Paracuru,35526
2310258,Paraipaba,33232
2310308,Parambu,31391
2310407,Paramoti,12276
2310506,Pedra Branca,43359
2310605,Penaforte,9207
2310704,Pentecoste,38045
2310803,Pereiro,16356
2310852,Pindoretama,20964
2310902,Piquet Carneiro,17210
2310951,Pires Ferreira,11052
2311009,Poranga,12358
2311108,Porteiras,14920
2311207,Potengi,11165
2311231,Potiretama,6455
2311264,Quiterianópolis,21246
2311306,Quixadá,88899
2311355,Quixelô,16116
2311405,Quixeramobim,82455
2311504,Quixeré,22432
2311603,Redenção,29238
2311702,Reriutaba,18279
2311801,Russas,79550
2311900,Saboeiro,15757
2311959,Salitre,16714
2312007,Santana do Acaraú,32851
2312106,Santana do Cariri,17726
2312205,Santa Quitéria,43719
2312304,São Benedito,48354
2312403,São Gonçalo do Amarante,49306
2312502,São João do Jaguaribe,7557
2312601,São Luís do Curu,13086
2312700,Senador Pompeu,25418
2312809,Senador Sá,7758
2312908,Sobral,212437
2313005,Solonópole,18389
2313104,Tabuleiro do Norte,32079
2313203,Tamboril,26199
2313252,Tarrafas,8555
2313302,Tauá,59259
2313351,Tejuçuoca,19551
2313401,Tianguá,77111
2313500,Trairi,56653
2313559,Tururu,16588
2313609,Ubajara,35295
2313708,Umari,7740
2313757,Umirim,19976
2313807,Uruburetama,22223
2313906,Uruoca,13988
2313955,Varjota,18520
2314003,Várzea Alegre,41078
2314102,Viçosa do Ceará,61916
2400109,Acari,11106
2400208,Açu,58743
2400307,Afonso Bezerra,11024
2400406,Água Nova,3293
2400505,Alexandria,13529
2400604,Almino Afonso,4685
2400703,Alto do Rodrigues,14923
2400802,Angicos,11695
2400901,Antônio Martins,7162
2401008,Apodi,35904
2401107,Areia Branca,28156
2401206,Arês,14526
2401305,Campo Grande,9686
2401404,Baía Formosa,9373
2401453,Baraúna,29112
2401503,Barcelona,3989
2401602,Bento Fernandes,5552
2401651,Bodó,2171
2401701,Bom Jesus,10323
2401800,Brejinho,12873
2401859,Caiçara do Norte,6572
2401909,Caiçara do Rio do Vento,3745
2402006,Caicó,68726
2402105,Campo Redondo,11363
2402204,Canguaretama,34814
2402303,Caraúbas,20588
2402402,Carnaúba dos Dantas,8297
2402501,Carnaubais,10972
2402600,Ceará-Mirim,74268
2402709,Cerro Corá,11182
2402808,Coronel Ezequiel,5501
2402907,Coronel João Pessoa,4918
2403004,Cruzeta,7968
2403103,Currais Novos,45022
2403202,Doutor Severiano,7068
2403251,Parnamirim,272490
2403301,Encanto,5697
2403400,Equador,6064
2403509,Espírito Santo,10463
2403608,Extremoz,29282
2403707,Felipe Guerra,6009
2403756,Fernando Pedroza,3081
2403806,Florânia,9772
2403905,Francisco Dantas,2801
2404002,Frutuoso Gomes,4015
2404101,Galinhos,2903
2404200,Goianinha,27004
2404309,Governador Dix-Sept Rosado,13115
2404408,Grossos,10541
2404507,Guamaré,16261
2404606,Ielmo Marinho,14033
2404705,Ipanguaçu,15759
2404804,Ipueira,2264
2404853,Itajá,7641
2404903,Itaú,5916
2405009,Jaçanã,9341
2405108,Jandaíra,6907
2405207,Janduís,5228
2405306,Januário Cicco,10367
2405405,Japi,4935
2405504,Jardim de Angicos,2600
2405603,Jardim de Piranhas,15044
2405702,Jardim do Seridó,12397
2405801,João Câmara,35360
2405900,João Dias,2653
2406007,José da Penha,5941
2406106,Jucurutu,18335
2406155,Jundiá,3945
2406205,Lagoa d'Anta,6851
2406304,Lagoa de Pedras,7624
2406403,Lagoa de Velhos,2732
2406502,Lagoa Nova,15880
2406601,Lagoa Salgada,8348
2406700,Lajes,11410
2406809,Lajes Pintadas,4768
2406908,Lucrécia,4053
2407005,Luís Gomes,10175
2407104,Macaíba,82828
2407203,Macau,32260
2407252,Major Sales,4102
2407302,Marcelino Vieira,8325
2407401,Martins,8790
2407500,Maxaranguape,12714
2407609,Messias Targino,4665
2407708,Montanhas,11166
2407807,Monte Alegre,22698
2407906,Monte das Gameleiras,2063
2408003,Mossoró,303792
2408102,Natal,896708
2408201,Nísia Floresta,28266
2408300,Nova Cruz,37554
2408409,Olho d'Água do Borges,4231
2408508,Ouro Branco,4813
2408607,Paraná,4298
2408706,Paraú,3732
2408805,Parazinho,5307
2408904,Parelhas,21611
2408953,Rio do Fogo,10961
2409100,Passa e Fica,13667
2409209,Passagem,3114
2409308,Patu,12861
2409332,Santa Maria,5689
2409407,Pau dos Ferros,30802
2409506,Pedra Grande,3163
2409605,Pedra Preta,2419
2409704,Pedro Avelino,6591
2409803,Pedro Velho,14881
2409902,Pendências,15411
2410009,Pilões,3900
2410108,Poço Branco,15646
2410207,Portalegre,7944
2410256,Porto do Mangue,6605
2410306,Serra Caiada,10646
2410405,Pureza,9825
2410504,Rafael Fernandes,5158
2410603,Rafael Godeiro,3214
2410702,Riacho da Cruz,3648
2410801,Riacho de Santana,4194
2410900,Riachuelo,8310
2411007,Rodolfo Fernandes,4457
2411056,Tibau,4173
2411106,Ruy Barbosa,3584
2411205,Santa Cruz,40295
2411403,Santana do Matos,11808
2411429,Santana do Seridó,2699
2411502,Santo Antônio,24422
2411601,São Bento do Norte,2687
2411700,São Bento do Trairí,4541
2411809,São Fernando,3606
2411908,São Francisco do Oeste,4281
2412005,São Gonçalo do Amarante,104919
2412104,São João do Sabugi,6221
2412203,São José de Mipibu,44566
2412302,São José do Campestre,12901
2412401,São José do Seridó,4696
2412500,São Miguel,23789
2412559,São Miguel do Gostoso,10441
2412609,São Paulo do Potengi,17858
2412708,São Pedro,5889
2412807,São Rafael,8183
2412906,São Tomé,11051
2413003,São Vicente,6476
2413102,Senador Elói de Souza,6167
2413201,Senador Georgino Avelino,4527
2413300,Serra de São Bento,5739
2413359,Serra do Mel,12225
2413409,Serra Negra do Norte,8105
2413508,Serrinha,6128
2413557,Serrinha dos Pintos,4832
2413607,Severiano Melo,1743
2413706,Sítio Novo,5600
2413805,Taboleiro Grande,2606
2413904,Taipu,12314
2414001,Tangará,16008
2414100,Tenente Ananias,10923
2414159,Tenente Laurentino Cruz,6085
2414209,Tibau do Sul,14694
2414308,Timbaúba dos Batistas,2427
2414407,Touros,33716
2414456,Triunfo Potiguar,3195
2414506,Umarizal,10485
2414605,Upanema,14937
2414704,Várzea,5529
2414753,Venha-Ver,4232
2414803,Vera Cruz,12789
2414902,Viçosa,1731
2415008,Vila Flor,3217
2500106,Água Branca,10375
2500205,Aguiar,5622
2500304,Alagoa Grande,28384
2500403,Alagoa Nova,20992
2500502,Alagoinha,14629
2500536,Alcantil,5527
2500577,Algodão de Jandaíra,2588
2500601,Alhandra,19865
2500700,São João do Rio do Peixe,18020
2500734,Amparo,2264
2500775,Aparecida,8482
2500809,Araçagi,16857
2500908,Arara,13613
2501005,Araruna,20610
2501104,Areia,22493
2501153,Areia de Baraúnas,2105
2501203,Areial,7054
2501302,Aroeiras,19081
2501351,Assunção,4067
2501401,Baía da Traição,9197
2501500,Bananeiras,21220
2501534,Baraúna,5033
2501575,Barra de Santana,8338
2501609,Barra de Santa Rosa,15607
2501708,Barra de São Miguel,6095
2501807,Bayeux,97519
2501906,Belém,17733
2502003,Belém do Brejo do Cruz,7356
2502052,Bernardino Batista,3571
2502102,Boa Ventura,5248
2502151,Boa Vista,7218
2502201,Bom Jesus,2588
2502300,Bom Sucesso,4937
2502409,Bonito de Santa Fé,12126
2502508,Boqueirão,17934
2502607,Igaracy,6092
2502706,Borborema,5311
2502805,Brejo do Cruz,14287
2502904,Brejo dos Santos,6479
2503001,Caaporã,22079
2503100,Cabaceiras,5710
2503209,Cabedelo,69773
2503308,Cachoeira dos Índios,10364
2503407,Cacimba de Areia,3708
2503506,Cacimba de Dentro,17169
2503555,Cacimbas,7225
2503605,Caiçara,7182
2503704,Cajazeiras,62576
2503753,Cajazeirinhas,3217
2503803,Caldas Brandão,6077
2503902,Camalaú,6048
2504009,Campina Grande,413830
2504033,Capim,6715
2504074,Caraúbas,4206
2504108,Carrapateira,2714
2504157,Casserengue,7530
2504207,Catingueira,4938
2504306,Catolé do Rocha,30819
2504355,Caturité,4898
2504405,Conceição,19030
2504504,Condado,6662
2504603,Conde,25341
2504702,Congo,4787
2504801,Coremas,15438
2504850,Coxixola,1948
2504900,Cruz do Espírito Santo,17599
2505006,Cubati,7866
2505105,Cuité,20331
2505204,Cuitegi,6748
2505238,Cuité de Mamanguape,6360
2505279,Curral de Cima,5209
2505303,Curral Velho,2508
2505352,Damião,5409
2505402,Desterro,8332
2505501,Vista Serrana,3850
2505600,Diamante,6506
2505709,Dona Inês,10375
2505808,Duas Estradas,3569
2505907,Emas,3556
2506004,Esperança,33386
2506103,Fagundes,11180
2506202,Frei Martinho,2989
2506251,Gado Bravo,8292
2506301,Guarabira,59389
2506400,Gurinhém,14125
2506509,Gurjão,3477
2506608,Ibiara,5877
2506707,Imaculada,11877
2506806,Ingá,18184
2506905,Itabaiana,24363
2507002,Itaporanga,24960
2507101,Itapororoca,18978
2507200,Itatuba,11069
2507309,Jacaraú,14467
2507408,Jericó,7751
2507507,João Pessoa,825796
2507606,Juarez Távora,8014
2507705,Juazeirinho,18422
2507804,Junco do Seridó,7238
2507903,Juripiranga,10830
2508000,Juru,9831
2508109,Lagoa,4640
2508208,Lagoa de Dentro,7754
2508307,Lagoa Seca,27728
2508406,Lastro,2698
2508505,Livramento,7274
2508554,Logradouro,4406
2508604,Lucena,13344
2508703,Mãe d'Água,3988
2508802,Malta,5745
2508901,Mamanguape,45385
2509008,Manaíra,10988
2509057,Marcação,8746
2509107,Mari,21895
2509156,Marizópolis,6689
2509206,Massaranduba,14077
2509305,Mataraca,8642
2509339,Matinhas,4528
2509370,Mato Grosso,2944
2509396,Maturéia,6690
2509404,Mogeiro,13238
2509503,Montadas,5806
2509602,Monte Horebe,4867
2509701,Monteiro,33638
2509800,Mulungu,9962
2509909,Natuba,10449
2510006,Nazarezinho,7271
2510105,Nova Floresta,10614
2510204,Nova Olinda,5892
2510303,Nova Palmeira,5011
2510402,Olho d'Água,6399
2510501,Olivedos,3989
2510600,Ouro Velho,3052
2510659,Parari,1747
2510709,Passagem,2453
2510808,Patos,108766
2510907,Paulista,12411
2511004,Pedra Branca,3802
2511103,Pedra Lavrada,7954
2511202,Pedras de Fogo,28607
2511301,Piancó,16147
2511400,Picuí,18737
2511509,Pilar,12036
2511608,Pilões,6518
2511707,Pilõezinhos,4937
2511806,Pirpirituba,10590
2511905,Pitimbu,19478
2512002,Pocinhos,18848
2512036,Poço Dantas,3877
2512077,Poço de José de Moura,4366
2512101,Pombal,32803
2512200,Prata,4265
2512309,Princesa Isabel,23749
2512408,Puxinanã,13801
2512507,Queimadas,44388
2512606,Quixaba,2009
2512705,Remígio,19973
2512721,Pedro Régis,6139
2512747,Riachão,3650
2512754,Riachão do Bacamarte,4562
2512762,Riachão do Poço,4571
2512788,Riacho de Santo Antônio,1999
2512804,Riacho dos Cavalos,8555
2512903,Rio Tinto,24258
2513000,Salgadinho,3975
2513109,Salgado de São Félix,12123
2513158,Santa Cecília,6526
2513208,Santa Cruz,6579
2513307,Santa Helena,5853
2513356,Santa Inês,3591
2513406,Santa Luzia,15470
2513505,Santana de Mangueira,5098
2513604,Santana dos Garrotes,6942
2513653,Joca Claudino,2640
2513703,Santa Rita,138093
2513802,Santa Teresinha,4550
2513851,Santo André,2496
2513901,São Bento,34650
2513927,São Bentinho,4602
2513943,São Domingos do Cariri,2645
2513968,São Domingos,3119
2513984,São Francisco,3377
2514008,São João do Cariri,4170
2514107,São João do Tigre,4408
2514206,São José da Lagoa Tapada,7622
2514305,São José de Caiana,6394
2514404,São José de Espinharas,4631
2514453,São José dos Ramos,6037
2514503,São José de Piranhas,20406
2514552,São José de Princesa,3898
2514602,São José do Bonfim,3619
2514651,São José do Brejo do Cruz,1821
2514701,São José do Sabugi,4153
2514800,São José dos Cordeiros,3607
2514909,São Mamede,7682
2515005,São Miguel de Taipu,7450
2515104,São Sebastião de Lagoa de Roça,11793
2515203,São Sebastião do Umbuzeiro,3534
2515302,Sapé,52977
2515401,São Vicente do Seridó,10919
2515500,Serra Branca,13807
2515609,Serra da Raiz,3114
2515708,Serra Grande,2921
2515807,Serra Redonda,7001
2515906,Serraria,6037
2515930,Sertãozinho,5152
2515971,Sobrado,7845
2516003,Solânea,26051
2516102,Soledade,15211
2516151,Sossêgo,3631
2516201,Sousa,69997
2516300,Sumé,17096
2516409,Tacima,11024
2516508,Taperoá,15505
2516607,Tavares,14791
2516706,Teixeira,15333
2516755,Tenório,3103
2516805,Triunfo,9473
2516904,Uiraúna,15356
2517001,Umbuzeiro,9914
2517100,Várzea,2870
2517209,Vieirópolis,5395
2517407,Zabelê,2269
2600054,Abreu e Lima,100698
2600104,Afogados da Ingazeira,37546
2600203,Afrânio,19981
2600302,Agrestina,25240
2600401,Água Preta,37386
2600500,Águas Belas,43923
2600609,Alagoinha,14798
2600708,Aliança,38408
2600807,Altinho,22996
2600906,Amaraji,22910
2601003,Angelim,11301
2601052,Araçoiaba,20936
2601102,Araripina,85301
2601201,Arcoverde,75295
2601300,Barra de Guabiraba,14632
2601409,Barreiros,42866
2601508,Belém de Maria,12169
2601607,Belém do São Francisco,20730
2601706,Belo Jardim,76930
2601805,Betânia,12811
2601904,Bezerros,60960
2602001,Bodocó,38605
2602100,Bom Conselho,48975
2602209,Bom Jardim,40038
2602308,Bonito,38101
2602407,Brejão,8981
2602506,Brejinho,7489
2602605,Brejo da Madre de Deus,51696
2602704,Buenos Aires,13224
2602803,Buíque,59448
2602902,Cabo de Santo Agostinho,210796
2603009,Cabrobó,34778
2603108,Cachoeirinha,20618
2603207,Caetés,29065
2603306,Calçado,10983
2603405,Calumbi,5744
2603454,Camaragibe,159945
2603504,Camocim de São Félix,19032
2603603,Camutanga,8592
2603702,Canhotinho,24743
2603801,Capoeiras,20048
2603900,Carnaíba,19666
2603926,Carnaubeira da Penha,13117
2604007,Carpina,85131
2604106,Caruaru,369343
2604155,Casinhas,14395
2604205,Catende,43778
2604304,Cedro,11972
2604403,Chã de Alegria,13641
2604502,Chã Grande,21929
2604601,Condado,26755
2604700,Correntes,18327
2604809,Cortês,12543
2604908,Cumaru,9494
2605004,Cupira,24237
2605103,Custódia,37633
2605152,Dormentes,19246
2605202,Escada,69701
2605301,Exu,31709
2605400,Feira Nova,22360
2605459,Fernando de Noronha,3140
2605509,Ferreiros,12216
2605608,Flores,22612
2605707,Floresta,33488
2605806,Frei Miguelinho,15633
2605905,Gameleira,31578
2606002,Garanhuns,141347
2606101,Glória do Goitá,30847
2606200,Goiana,80345
2606309,Granito,7586
2606408,Gravatá,85309
2606507,Iati,19284
2606606,Ibimirim,29585
2606705,Ibirajuba,7773
2606804,Igarassu,119690
2606903,Iguaracy,12265
2607000,Inajá,24034
2607109,Ingazeira,4537
2607208,Ipojuca,99101
2607307,Ipubi,31515
2607406,Itacuruba,5013
2607505,Itaíba,26268
2607604,Ilha de Itamaracá,27076
2607653,Itambé,36495
2607703,Itapetim,13492
2607752,Itapissuma,27144
2607802,Itaquitinga,17056
2607901,Jaboatão dos Guararapes,711330
2607950,Jaqueira,11632
2608008,Jataúba,17305
2608057,Jatobá,14904
2608107,João Alfredo,33570
2608206,Joaquim Nabuco,15999
2608255,Jucati,11545
2608305,Jupi,15007
2608404,Jurema,15483
2608453,Lagoa do Carro,18429
2608503,Lagoa de Itaenga,21490
2608602,Lagoa do Ouro,13300
2608701,Lagoa dos Gatos,16345
2608750,Lagoa Grande,26090
2608800,Lajedo,40883
2608909,Limoeiro,56149
2609006,Macaparana,25565
2609105,Machados,16549
2609154,Manari,22110
2609204,Maraial,11098
2609303,Mirandiba,15548
2609402,Moreno,63792
2609501,Nazaré da Mata,32673
2609600,Olinda,393734
2609709,Orobó,23985
2609808,Orocó,15309
2609907,Ouricuri,70466
2610004,Palmares,63745
2610103,Palmeirina,7509
2610202,Panelas,26438
2610301,Paranatama,11608
2610400,Parnamirim,22198
2610509,Passira,28856
2610608,Paudalho,57346
2610707,Paulista,336919
2610806,Pedra,22716
2610905,Pesqueira,68067
2611002,Petrolândia,37246
2611101,Petrolina,359372
2611200,Poção,11308
2611309,Pombos,27204
2611408,Primavera,15231
2611507,Quipapá,26309
2611533,Quixaba,6796
2611606,Recife,1661017
2611705,Riacho das Almas,20744
2611804,Ribeirão,47813
2611903,Rio Formoso,23719
2612000,Sairé,9600
2612109,Salgadinho,11214
2612208,Salgueiro,61561
2612307,Saloá,15880
2612406,Sanharó,27308
2612455,Santa Cruz,15713
2612471,Santa Cruz da Baixa Verde,12708
2612505,Santa Cruz do Capibaribe,111812
2612554,Santa Filomena,14645
2612604,Santa Maria da Boa Vista,42266
2612703,Santa Maria do Cambucá,14308
2612802,Santa Terezinha,11914
2612901,São Benedito do Sul,16239
2613008,São Bento do Una,60567
2613107,São Caitano,37488
2613206,São João,23002
2613305,São Joaquim do Monte,21439
2613404,São José da Coroa Grande,21868
2613503,São José do Belmonte,34082
2613602,São José do Egito,34210
2613701,São Lourenço da Mata,114910
2613800,São Vicente Férrer,18150
2613909,Serra Talhada,87467
2614006,Serrita,19226
2614105,Sertânia,36189
2614204,Sirinhaém,46845
2614303,Moreilândia,11269
2614402,Solidão,6034
2614501,Surubim,66192
2614600,Tabira,28860
2614709,Tacaimbó,12843
2614808,Tacaratu,26439
2614857,Tamandaré,23852
2615003,Taquaritinga do Norte,29472
2615102,Terezinha,7227
2615201,Terra Nova,10314
2615300,Timbaúba,52587
2615409,Toritama,47088
2615508,Tracunhaém,13856
2615607,Trindade,31103
2615706,Triunfo,15232
2615805,Tupanatinga,27793
2615904,Tuparetama,8266
2616001,Venturosa,18835
2616100,Verdejante,9572
2616183,Vertente do Lério,7526
2616209,Vertentes,21172
2616308,Vicência,32897
2616407,Vitória de Santo Antão,140389
2616506,Xexéu,14789
2700102,Água Branca,20263
2700201,Anadia,17507
2700300,Arapiraca,234309
2700409,Atalaia,47540
2700508,Barra de Santo Antônio,16201
2700607,Barra de São Miguel,8434
2700706,Batalha,18440
2700805,Belém,4226
2700904,Belo Monte,6717
2701001,Boca da Mata,27429
2701100,Branquinha,10426
2701209,Cacimbinhas,10920
2701308,Cajueiro,21397
2701357,Campestre,6972
2701407,Campo Alegre,57997
2701506,Campo Grande,9576
2701605,Canapi,17715
2701704,Capela,16907
2701803,Carneiros,9568
2701902,Chã Preta,7311
2702009,Coité do Nóia,10594
2702108,Colônia Leopoldina,21935
2702207,Coqueiro Seco,5882
2702306,Coruripe,57647
2702355,Craíbas,24396
2702405,Delmiro Gouveia,52501
2702504,Dois Riachos,11059
2702553,Estrela de Alagoas,18304
2702603,Feira Grande,22192
2702702,Feliz Deserto,4803
2702801,Flexeiras,12823
2702900,Girau do Ponciano,41549
2703007,Ibateguara,15637
2703106,Igaci,25596
2703205,Igreja Nova,24670
2703304,Inhapi,18398
2703403,Jacaré dos Homens,5185
2703502,Jacuípe,6992
2703601,Japaratinga,8444
2703700,Jaramataia,5751
2703759,Jequiá da Praia,11495
2703809,Joaquim Gomes,24167
2703908,Jundiá,4119
2704005,Junqueiro,24716
2704104,Lagoa da Canoa,17692
2704203,Limoeiro de Anadia,28904
2704302,Maceió,1031597
2704401,Major Isidoro,19923
2704500,Maragogi,33351
2704609,Maravilha,8850
2704708,Marechal Deodoro,52848
2704807,Maribondo,13123
2704906,Mar Vermelho,3474
2705002,Mata Grande,25200
2705101,Matriz de Camaragibe,24627
2705200,Messias,18201
2705309,Minador do Negrão,5315
2705408,Monteirópolis,7171
2705507,Murici,28428
2705606,Novo Lino,12837
2705705,Olho d'Água das Flores,21690
2705804,Olho d'Água do Casado,9507
2705903,Olho d'Água Grande,5133
2706000,Olivença,11681
2706109,Ouro Branco,11573
2706208,Palestina,5061
2706307,Palmeira dos Índios,73452
2706406,Pão de Açúcar,24307
2706422,Pariconha,10546
2706448,Paripueira,13484
2706505,Passo de Camaragibe,15270
2706604,Paulo Jacinto,7556
2706703,Penedo,64005
2706802,Piaçabuçu,17868
2706901,Pilar,35310
2707008,Pindoba,2903
2707107,Piranhas,25324
2707206,Poço das Trincheiras,14447
2707305,Porto Calvo,27331
2707404,Porto de Pedras,7618
2707503,Porto Real do Colégio,20158
2707602,Quebrangulo,11202
2707701,Rio Largo,75662
2707800,Roteiro,6634
2707909,Santa Luzia do Norte,7344
2708006,Santana do Ipanema,47910
2708105,Santana do Mundaú,10637
2708204,São Brás,6977
2708303,São José da Laje,24064
2708402,São José da Tapera,32462
2708501,São Luís do Quitunde,34825
2708600,São Miguel dos Campos,62328
2708709,São Miguel dos Milagres,8073
2708808,São Sebastião,34424
2708907,Satuba,14042
2708956,Senador Rui Palmeira,13893
2709004,Tanque d'Arca,6115
2709103,Taquarana,20162
2709152,Teotônio Vilela,44570
2709202,Traipu,27934
2709301,União dos Palmares,65963
2709400,Viçosa,25655
2800100,Amparo do São Francisco,2386
2800209,Aquidabã,21796
2800308,Aracaju,672614
2800407,Arauá,9840
2800506,Areia Branca,18825
2800605,Barra dos Coqueiros,31439
2800670,Boquim,26980
2800704,Brejo Grande,8396
2801009,Campo do Brito,18325
2801108,Canhoba,4003
2801207,Canindé de São Francisco,30894
2801306,Capela,34808
2801405,Carira,22393
2801504,Carmópolis,17232
2801603,Cedro de São João,5929
2801702,Cristinápolis,18181
2801900,Cumbe,4008
2802007,Divina Pastora,5290
2802106,Estância,69919
2802205,Feira Nova,5617
2802304,Frei Paulo,15688
2802403,Gararu,11599
2802502,General Maynard,3421
2802601,Gracho Cardoso,5831
2802700,Ilha das Flores,8522
2802809,Indiaroba,18337
2802908,Itabaiana,96839
2803005,Itabaianinha,42399
2803104,Itabi,4869
2803203,Itaporanga d'Ajuda,35054
2803302,Japaratuba,19067
2803401,Japoatã,13422
2803500,Lagarto,106015
2803609,Laranjeiras,30327
2803708,Macambira,7002
2803807,Malhada dos Bois,3715
2803906,Malhador,12689
2804003,Maruim,17328
2804102,Moita Bonita,11361
2804201,Monte Alegre de Sergipe,15315
2804300,Muribeca,7653
2804409,Neópolis,18688
2804458,Nossa Senhora Aparecida,8822
2804508,Nossa Senhora da Glória,37715
2804607,Nossa Senhora das Dores,26957
2804706,Nossa Senhora de Lourdes,6509
2804805,Nossa Senhora do Socorro,187733
2804904,Pacatuba,14650
2805000,Pedra Mole,3309
2805109,Pedrinhas,9727
2805208,Pinhão,6678
2805307,Pirambu,9436
2805406,Poço Redondo,35461
2805505,Poço Verde,24003
2805604,Porto da Folha,28788
2805703,Propriá,29756
2805802,Riachão do Dantas,19813
2805901,Riachuelo,10354
2806008,Ribeirópolis,18891
2806107,Rosário do Catete,11158
2806206,Salgado,20051
2806305,Santa Luzia do Itanhy,14205
2806404,Santana do São Francisco,7906
2806503,Santa Rosa de Lima,3933
2806602,Santo Amaro das Brotas,12200
2806701,São Cristóvão,92090
2806800,São Domingos,11276
2806909,São Francisco,3837
2807006,São Miguel do Aleixo,3964
2807105,Simão Dias,40724
2807204,Siriri,9046
2807303,Telha,3271
2807402,Tobias Barreto,52861
2807501,Tomar do Geru,13534
2807600,Umbaúba,25800
2900108,Abaíra,8681
2900207,Abaré,20594
2900306,Acajutiba,15214
2900355,Adustina,17209
2900405,Água Fria,17096
2900504,Érico Cardoso,10513
2900603,Aiquara,4387
2900702,Alagoinhas,153023
2900801,Alcobaça,22509
2900900,Almadina,5273
2901007,Amargosa,37631
2901106,Amélia Rodrigues,24997
2901155,América Dourada,16086
2901205,Anagé,21229
2901304,Andaraí,13122
2901353,Andorinha,14416
2901403,Angical,13902
2901502,Anguera,11369
2901601,Antas,19659
2901700,Antônio Cardoso,11670
2901809,Antônio Gonçalves,11955
2901908,Aporá,17840
2901957,Apuarema,7274
2902005,Aracatu,12960
2902054,Araçás,12237
2902104,Araci,54903
2902203,Aramari,11519
2902252,Arataca,10904
2902302,Aratuípe,8848
2902401,Aurelino Leal,11079
2902500,Baianópolis,13979
2902609,Baixa Grande,20431
2902658,Banzaê,13251
2902708,Barra,54225
2902807,Barra da Estiva,20198
2902906,Barra do Choça,30831
2903003,Barra do Mendes,13128
2903102,Barra do Rocha,5515
2903201,Barreiras,158432
2903235,Barro Alto,15171
2903276,Barrocas,16225
2903300,Barro Preto,5312
2903409,Belmonte,23540
2903508,Belo Campo,17013
2903607,Biritinga,15989
2903706,Boa Nova,12039
2903805,Boa Vista do Tupim,18491
2903904,Bom Jesus da Lapa,70151
2903953,Bom Jesus da Serra,9768
2904001,Boninal,14518
2904050,Bonito,16999
2904100,Boquira,21486
